Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2022-11-25,7156182.0,477743.0,6264.0,14.98,-0.1999999999999993,4536321.0,63.39,-0.730000000000004,805.0,216.0,110.0,78.0,401.0,59.87,-0.7100000000000009,33.55,0.007507507507507508
2022-12-02,7156182.0,477989.0,246.0,14.97,-0.009999999999999787,4534849.0,63.37,-0.020000000000003126,810.0,224.0,110.0,75.0,401.0,59.84,-0.02999999999999403,33.65,0.002980625931445646
2022-12-09,7156182.0,480273.0,2284.0,14.9,-0.07000000000000028,4505712.0,62.96,-0.4099999999999966,803.0,218.0,112.0,75.0,398.0,59.45,-0.39000000000000057,33.7,0.0014858841010402456
2022-12-16,7156182.0,479668.0,-605.0,14.92,0.019999999999999574,4513004.0,63.06,0.10000000000000142,807.0,219.0,114.0,74.0,400.0,59.55,0.09999999999999432,34.6,0.02670623145400589
2022-12-23,7156182.0,479014.0,-654.0,14.94,0.019999999999999574,4485759.0,62.68,-0.38000000000000256,821.0,226.0,116.0,76.0,403.0,59.07,-0.4799999999999969,34.05,-0.015895953757225557
2022-12-30,7156182.0,480335.0,1321.0,14.9,-0.03999999999999915,4471976.0,62.49,-0.18999999999999773,819.0,229.0,113.0,79.0,398.0,58.84,-0.22999999999999687,33.65,-0.011747430249632852
2023-01-06,7156182.0,480213.0,-122.0,14.9,0.0,4472378.0,62.5,0.00999999999999801,822.0,233.0,114.0,76.0,399.0,58.85,0.00999999999999801,34.25,0.01783060921248147
2023-01-13,7156182.0,477422.0,-2791.0,14.99,0.08999999999999986,4482537.0,62.64,0.14000000000000057,828.0,234.0,110.0,80.0,404.0,58.97,0.11999999999999744,36.15,0.05547445255474449
2023-01-17,7156182.0,475488.0,-1934.0,15.05,0.0600000000000005,4499536.0,62.88,0.240000000000002,831.0,230.0,115.0,83.0,403.0,59.15,0.17999999999999972,36.0,-0.004149377593360957
2023-02-03,7156182.0,473852.0,-1636.0,15.1,0.049999999999998934,4509781.0,63.02,0.14000000000000057,833.0,231.0,111.0,88.0,403.0,59.27,0.12000000000000455,36.45,0.012500000000000079
2023-02-10,7156182.0,475240.0,1388.0,15.06,-0.03999999999999915,4503242.0,62.93,-0.09000000000000341,830.0,235.0,110.0,83.0,402.0,59.23,-0.04000000000000625,36.85,0.010973936899862785
2023-02-17,7156182.0,475093.0,-147.0,15.06,0.0,4507572.0,62.99,0.060000000000002274,820.0,229.0,109.0,87.0,395.0,59.3,0.07000000000000028,38.0,0.031207598371777435
2023-02-24,7156182.0,471734.0,-3359.0,15.17,0.10999999999999943,4539141.0,63.43,0.4399999999999977,820.0,226.0,115.0,79.0,400.0,59.79,0.490000000000002,39.15,0.030263157894736804
2023-03-03,7156182.0,475135.0,3401.0,15.06,-0.10999999999999943,4516678.0,63.12,-0.3100000000000023,812.0,222.0,110.0,82.0,398.0,59.52,-0.269999999999996,37.75,-0.03575989782886331
2023-03-10,7156182.0,482002.0,6867.0,14.85,-0.21000000000000085,4487282.0,62.7,-0.4199999999999946,810.0,220.0,113.0,81.0,396.0,59.11,-0.4100000000000037,36.7,-0.027814569536423767
